identificador da entrevista,região onde foi realizada a entrevista,idade: qual a sua idade (em anos completos)?,área,sexo,cor ou raça,última série escolar que concluiu com aprovação,até que série o seu pai estudou,até que série a sua mãe estudou,renda total do chefe da família no último mês,renda total de todos os moradores (parentes e agregados) no último mês,número de moradores no domicílio (parentes e agregados),"no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli",my world - acesso a alimentos de qualidade,my world - governo honesto e atuante,my world - apoio às pessoas que não podem trabalhar,my world - educação de qualidade,my world - melhoria nos transportes e estradas,"my world - proteção a florestas, rios e oceanos",my world - liberdades políticas,my world - combater as mudanças climáticas,my world - melhoria dos serviços de saúde,my world - acesso ao telefone e à internet,my world - eliminação do preconceito e da discriminação,my world - acesso à água potável e ao saneamento,my world - igualdade entre homens e mulheres,my world - acesso à energia em sua casa,my world - proteção contra o crime e a violência,my world - melhores oportunidades de trabalho,religião,mulheres que usam roupas que mostram o corpo merecem ser atacadas,as mulatas são mais fogosas do que as mulheres brancas,dá para entender que um homem que cresceu em uma família violenta agrida sua mul,os homens devem ser a cabeça do lar,casos de violência dentro de casa devem ser discutidos somente entre os membros ,"incomoda ver dois homens, ou duas mulheres, se beijando na boca em público","se as mulheres soubessem como se comportar, haveria menos estupros",homem que bate na esposa tem que ir para a cadeia,é violência falar mentiras sobre uma mulher para os outros,toda mulher sonha em se casar,o que acontece com o casal em casa não interessa aos outros,"quando há violência, os casais devem se separar",casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais,dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo,um homem pode xingar e gritar com sua própria mulher,é da natureza do homem ser violento,"em briga de marido e mulher, não se mete a colher",a roupa suja deve ser lavada em casa,uma mulher só se sente realizada quando tem filhos/as,"a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade","piada de preto é só brincadeira, não é racismo",um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh,mulher que é agredida e continua com o parceiro gosta de apanhar,casamento de homem com homem ou de mulher com mulher deve ser proibido,a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos,a questão da violência contra as mulheres recebe mais importância do que merece,"tem mulher que é pra casar, tem mulher que é pra cama"
13903,NORTE,62,urbano,feminino,branca,médio completo,segunda série fundamental,segunda série fundamental,,,3,77,prioritário,prioritário,prioritário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,ns,discorda parcial,concorda parcial,concorda parcial,neutro,neutro,concorda total,discorda total,concorda total,discorda total,discorda total,neutro,discorda total,discorda total,discorda parcial,neutro,concorda parcial,concorda total,discorda parcial,discorda total,neutro,concorda total,neutro,discorda total,discorda total,neutro
13905,SUDESTE,19,metropolitano,masculino,branca,médio completo,terceira série médio incompleto,médio completo,800,2800,4,88,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,evangélica,discorda parcial,discorda parcial,discorda total,concorda parcial,discorda total,concorda parcial,concorda parcial,discorda parcial,discorda total,concorda parcial,discorda total,concorda parcial,concorda total,neutro,discorda total,discorda total,neutro,discorda total,neutro,discorda parcial,discorda parcial,discorda total,discorda total,discorda parcial,discorda parcial,concorda parcial,concorda total
13907,SUDESTE,45,urbano,masculino,parda,médio completo,quarta série fundamental completa,quarta série fundamental completa,2900,2900,3,2,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,católica,discorda total,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda total,concorda total,concorda parcial,discorda total,concorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda parcial
13909,SUDESTE,36,metropolitano,feminino,parda,médio completo,terceira série fundamental,quarta série fundamental completa,1000,1000,3,2,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,católica,discorda total,concorda total,concorda total,concorda parcial,discorda parcial,concorda parcial,concorda total,concorda total,neutro,concorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,discorda total,neutro,concorda parcial,discorda total,concorda parcial,discorda total,neutro,concorda total
13911,SUDESTE,49,metropolitano,masculino,preta,quinta série fundamental,não sabe,não sabe,1200,1200,3,2,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,evangélica,discorda parcial,neutro,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda total,discorda total,concorda total,discorda parcial,discorda parcial,discorda total,concorda parcial,discorda total,discorda parcial,discorda parcial,concorda parcial,discorda total,discorda parcial,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda parcial
13915,SUDESTE,68,metropolitano,feminino,preta,primeira série fundamental,analfabeto ou sem instrução,primeira série fundamental,900,,2,2,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,evangélica,concorda parcial,discorda total,discorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda total,concorda total,discorda total,concorda total,concorda parcial,discorda total,discorda total,concorda total,neutro,discorda total
13919,NORDESTE,48,metropolitano,feminino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,878,878,3,1,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda total,concorda parcial,concorda parcial,concorda total,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,discorda total,ns,discorda total,concorda total,discorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total
13920,NORDESTE,61,metropolitano,masculino,parda,primeira série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,300,300,3,2,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,prioritário,católica,discorda parcial,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,ns,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,concorda total,ns,concorda total,ns,discorda parcial,concorda total,concorda total
13925,NORDESTE,19,metropolitano,feminino,parda,sétima série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,640,640,3,1,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,católica,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,discorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,neutro,discorda total,discorda total,concorda total,discorda total,discorda parcial
13928,SUDESTE,45,metropolitano,masculino,preta,primeira série médio,quarta série fundamental completa,terceira série médio incompleto,960,2500,4,2,prioritário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,prioritário,evangélica,discorda total,neutro,concorda parcial,discorda parcial,discorda total,neutro,discorda total,concorda parcial,discorda total,discorda total,discorda total,discorda total,discorda parcial,concorda parcial,discorda parcial,neutro,concorda parcial,discorda parcial,concorda parcial,concorda parcial,neutro,discorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda parcial
13929,SUDESTE,23,urbano,feminino,parda,sexta série fundamental,quarta série fundamental completa,quarta série fundamental completa,700,700,4,2,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,evangélica,discorda total,discorda total,discorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,concorda parcial,discorda total,discorda total,discorda total
13931,NORDESTE,19,metropolitano,feminino,parda,médio completo,não sabe,médio completo,,300,3,1,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,discorda parcial,concorda total,concorda total,concorda total,discorda total,concorda parcial,concorda total,concorda parcial,discorda total,ns,concorda total,ns,discorda total,discorda parcial,concorda total,concorda total,discorda total,concorda total,concorda total,discorda total,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda parcial
13936,SUDESTE,45,metropolitano,feminino,preta,superior completo,terceira série médio incompleto,cursou superior sem concluir,3000,,4,2,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,prioritário,secundário,secundário,sem,discorda total,discorda total,discorda parcial,discorda parcial,concorda parcial,discorda parcial,discorda total,discorda total,neutro,discorda total,discorda total,discorda parcial,discorda total,concorda parcial,neutro,discorda parcial,discorda total,discorda parcial,concorda parcial,discorda total,discorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda total,concorda parcial,concorda total
13938,NORDESTE,26,metropolitano,masculino,parda,médio completo,analfabeto ou sem instrução,analfabeto ou sem instrução,640,640,2,2,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,prioritário,católica,discorda parcial,discorda total,discorda parcial,concorda total,concorda parcial,neutro,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,discorda parcial,concorda total,concorda total,concorda total,discorda total,concorda parcial,ns,concorda total,discorda parcial,discorda parcial,discorda total,concorda parcial
13941,NORDESTE,67,metropolitano,masculino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,400,400,3,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,católica,discorda parcial,discorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total,concorda total,discorda total,concorda parcial,discorda parcial,concorda total
13942,SUDESTE,25,urbano,masculino,branca,cursou superior sem concluir,médio completo,médio completo,,,5,2,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,prioritário,prioritário,católica,discorda total,concorda parcial,discorda total,discorda total,discorda total,discorda parcial,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,concorda parcial,neutro,concorda total,discorda total,discorda total,discorda total,discorda total
13943,SUDESTE,23,metropolitano,feminino,branca,segunda série médio,quarta série fundamental incompleta,segunda série fundamental,690,,5,2,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,católica,concorda total,discorda total,discorda total,neutro,concorda parcial,concorda parcial,neutro,discorda parcial,discorda total,discorda total,concorda parcial,discorda parcial,discorda total,discorda parcial,discorda total,discorda parcial,discorda parcial,discorda total,discorda total,concorda total,discorda parcial,concorda parcial,discorda total,concorda parcial,discorda total,discorda total,discorda total
13950,SUDESTE,56,metropolitano,feminino,branca,oitava série fundamental incompleta,quarta série fundamental incompleta,primeira série fundamental,700,1000,3,2,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,concorda total,discorda total,discorda parcial,neutro,discorda total,neutro,discorda parcial,concorda parcial,neutro,concorda parcial,concorda parcial,discorda total,concorda parcial,neutro,concorda parcial,discorda total,discorda total,discorda total,concorda parcial,discorda total,discorda total,discorda total,discorda total,discorda parcial,concorda parcial,concorda parcial
13951,NORDESTE,41,metropolitano,masculino,parda,quarta série fundamental incompleta,analfabeto ou sem instrução,analfabeto ou sem instrução,640,640,3,2,secundário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,católica,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda parcial,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda total,ns,concorda total,discorda parcial,concorda parcial,concorda total,concorda total
13955,SUDESTE,63,metropolitano,feminino,preta,sétima série fundamental,primeira série fundamental,analfabeto ou sem instrução,750,1000,3,2,secundário,prioritário,prioritário,secundário,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,concorda total,discorda total,discorda parcial,ns,discorda parcial,discorda total,neutro,concorda parcial,discorda parcial,concorda parcial,discorda parcial,discorda total,concorda parcial,discorda total,discorda parcial,concorda parcial,discorda parcial,neutro,concorda parcial,discorda parcial,concorda parcial,discorda total,discorda total,discorda total,concorda parcial
13958,NORDESTE,35,metropolitano,feminino,parda,terceira série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,400,400,5,2,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda total,discorda total,concorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda parcial,concorda total
13960,SUDESTE,73,urbano,masculino,parda,terceira série fundamental,analfabeto ou sem instrução,analfabeto ou sem instrução,678,678,1,2,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,evangélica,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total
13962,NORTE,36,urbano,masculino,parda,especialização,não conheceu,quarta série fundamental completa,5000,5000,4,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,sem,discorda total,concorda total,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,concorda total
13965,NORTE,43,urbano,masculino,parda,médio completo,terceira série fundamental,oitava série fundamental incompleta,1500,1500,3,1,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,evangélica,concorda parcial,ns,discorda total,concorda parcial,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda total,discorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,discorda total,discorda total,concorda total,concorda total,discorda total,discorda parcial,concorda total
13968,NORTE,29,urbano,feminino,parda,sexta série fundamental,não sabe,não sabe,678,678,4,1,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,católica,concorda total,neutro,discorda total,concorda total,concorda total,discorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,discorda total,discorda total,discorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,discorda total,concorda total,concorda parcial,discorda total,discorda total,neutro,concorda total
13971,NORTE,31,urbano,feminino,parda,médio completo,médio completo,oitava série fundamental incompleta,1500,1500,5,2,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,evangélica,discorda total,neutro,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda total,concorda parcial,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda total,discorda total,concorda parcial,concorda total
13974,NORTE,74,urbano,feminino,parda,quarta série fundamental completa,primeira série fundamental,primeira série fundamental,678,678,3,1,prioritário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,católica,concorda parcial,ns,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,concorda parcial,discorda total,discorda total,concorda total,concorda total,discorda total,discorda parcial,concorda parcial
13977,NORTE,48,urbano,feminino,parda,superior completo,quarta série fundamental completa,quarta série fundamental completa,1500,1500,3,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,católica,concorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total
13980,NORTE,23,urbano,feminino,parda,médio completo,não sabe,analfabeto ou sem instrução,1500,,3,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,evangélica,concorda total,ns,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda total
13982,SUDESTE,25,metropolitano,masculino,branca,cursou superior sem concluir,quarta série fundamental completa,sexta série fundamental,1000,1200,4,2,prioritário,secundário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,neutro,concorda parcial,discorda parcial,neutro,discorda parcial,discorda parcial,discorda parcial,concorda parcial,discorda total,discorda total,discorda parcial,discorda total,concorda total,discorda total,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda parcial,neutro,discorda total,discorda total,concorda parcial,discorda parcial,discorda total,discorda total
13983,NORDESTE,38,metropolitano,feminino,parda,médio completo,analfabeto ou sem instrução,analfabeto ou sem instrução,500,800,3,1,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,evangélica,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,discorda total,concorda total,concorda total,concorda total,discorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda total
13986,NORDESTE,56,metropolitano,feminino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,380,380,3,2,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,prioritário,secundário,prioritário,prioritário,católica,discorda total,ns,neutro,neutro,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,discorda total,neutro,concorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,discorda total
13991,SUDESTE,51,metropolitano,feminino,preta,primeira série médio,terceira série fundamental,quarta série fundamental incompleta,600,800,2,2,secundário,prioritário,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,concorda total,concorda parcial,concorda parcial,concorda total,concorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda parcial,neutro,discorda total,discorda total,discorda parcial,concorda parcial,discorda total,discorda total,neutro,concorda total,concorda parcial,concorda parcial,discorda total,discorda parcial,discorda parcial,concorda parcial,discorda parcial
13993,NORDESTE,36,metropolitano,masculino,parda,analfabeto ou sem instrução,analfabeto ou sem instrução,analfabeto ou sem instrução,500,500,3,2,secundário,secundário,prioritário,prioritário,prioritário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,católica,discorda parcial,ns,discorda total,neutro,concorda parcial,neutro,discorda parcial,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda total,discorda total,discorda parcial,discorda total,concorda total,discorda total,discorda total,discorda parcial,discorda total
13996,SUDESTE,63,urbano,feminino,parda,quarta série fundamental completa,segunda série fundamental,quarta série fundamental incompleta,680,680,1,2,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,neutro,concorda parcial,discorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total
14002,SUDESTE,38,metropolitano,masculino,branca,cursou superior sem concluir,quarta série fundamental incompleta,quarta série fundamental completa,,,5,2,prioritário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,católica,discorda total,discorda parcial,discorda total,discorda total,discorda total,concorda total,discorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda total,discorda total,concorda parcial,discorda total,concorda total,concorda parcial,discorda total,concorda parcial,discorda total,neutro,concorda parcial,discorda total,discorda parcial,discorda total,concorda total
14003,NORDESTE,42,metropolitano,feminino,parda,quarta série fundamental completa,analfabeto ou sem instrução,analfabeto ou sem instrução,302,302,3,2,secundário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,prioritário,prioritário,católica,concorda parcial,discorda total,discorda total,concorda total,discorda parcial,concorda parcial,concorda total,concorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,discorda total,ns,concorda total,neutro,discorda total,concorda total,concorda parcial
14006,SUDESTE,27,urbano,feminino,branca,segunda série médio,fundamental completa,primeira série médio,750,1400,4,1,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,evangélica,discorda total,discorda total,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda total,discorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,concorda parcial,discorda total,concorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda parcial,concorda total,discorda total,concorda parcial,concorda parcial
14007,SUDESTE,64,metropolitano,feminino,branca,médio completo,analfabeto ou sem instrução,não sabe,,,7,2,prioritário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,evangélica,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,concorda parcial,discorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,concorda parcial
14012,SUDESTE,40,metropolitano,masculino,preta,terceira série médio incompleto,sétima série fundamental,sétima série fundamental,800,3000,6,2,secundário,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,concorda total,concorda parcial,discorda parcial,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda parcial,discorda total,discorda total,discorda total,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda total,discorda total,concorda parcial,concorda parcial,discorda parcial
14017,SUDESTE,38,metropolitano,masculino,branca,segunda série médio,primeira série fundamental,terceira série fundamental,800,2500,4,2,secundário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,católica,discorda total,discorda parcial,discorda total,neutro,concorda parcial,discorda parcial,discorda parcial,discorda total,discorda total,concorda parcial,neutro,neutro,discorda parcial,discorda total,concorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,discorda parcial,discorda total,concorda parcial,discorda total,discorda total,concorda total,concorda parcial
14019,SUDESTE,33,urbano,masculino,parda,médio completo,sétima série fundamental,quinta série fundamental,1500,1500,1,2,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda total,discorda total,discorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,concorda total,concorda total,discorda total,concorda parcial,concorda parcial,discorda total,discorda total,concorda total
14020,NORDESTE,48,metropolitano,feminino,parda,quarta série fundamental completa,não sabe,analfabeto ou sem instrução,,,4,1,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,concorda total,discorda parcial,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda parcial,concorda total,concorda total,discorda total,discorda parcial,discorda total,discorda total,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total
14025,NORDESTE,38,metropolitano,feminino,parda,quarta série fundamental completa,analfabeto ou sem instrução,analfabeto ou sem instrução,678,678,6,1,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,neutro,discorda parcial,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,ns,concorda parcial,concorda parcial,concorda total,ns,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda total,concorda parcial,concorda total,discorda total,concorda total,discorda total,discorda total,concorda total
14026,SUDESTE,18,urbano,feminino,parda,médio completo,superior completo,médio completo,1200,2000,5,2,secundário,prioritário,secundário,prioritário,prioritário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,neutro,discorda total,concorda total,discorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda total,concorda total,discorda total,discorda total,discorda total,discorda total,discorda total,concorda total,neutro,discorda total,discorda total,discorda total,discorda total,concorda total,discorda total,discorda total,discorda total
